adi	adipoli
likes	like
dislikes	dislike
poli	adipoli
unlike	dislike
polikkum	polichu
polikum	polichu
poliyum	polichu
polichuu	polichu
polich	polichu
poliyan	polichu
polikaneerr	polichu
polii	adipoli
polippan	adipoli
polichadukkum	polichu
unlikes	dislike
polikk	polichu
polichadukiya	polichu
fislike	dislike
dislikeolikalkkulla	dislike
deslike	dislike
poliyane	polichu
polikm	polichu
likee	like
liked	like
ilike	like
dislikers	dislike
likesum	like
poliche	polichu
polichath	polichu
polichadukki	polichu
likeum	like
likesmraja	like
likenulla	like
likebutton	like
likean	like
likeadi	like
disliker	dislike
autolike	like
polike	like
likeetu	like
likeadutha	like
autolikes	like
adpoli	adipoli
addipoli	adipoli
